my,phi,v0,v1,v2,v3,v4
0.28,4.1469,0.282095,0.396039,0.136809,0.251334,0
0.28,4.27257,0.282095,0.424417,0.136809,0.199715,0
0.28,4.39823,0.282095,0.446101,0.136809,0.144947,0
0.28,4.52389,0.282095,0.46075,0.136809,0.0878928,0
0.28,4.64956,0.282095,0.468133,0.136809,0.0294524,0
0.28,4.77522,0.282095,0.468133,0.136809,-0.0294524,-0
0.28,4.90088,0.282095,0.46075,0.136809,-0.0878928,-0
0.28,5.02655,0.282095,0.446101,0.136809,-0.144947,-0
0.28,5.15221,0.282095,0.424417,0.136809,-0.199715,-0
0.28,5.27788,0.282095,0.396039,0.136809,-0.251334,-0
0.28,5.40354,0.282095,0.361416,0.136809,-0.298989,-0
0.28,5.5292,0.282095,0.321093,0.136809,-0.341929,-0
0.28,5.65487,0.282095,0.275706,0.136809,-0.379476,-0
0.28,5.78053,0.282095,0.225971,0.136809,-0.411039,-0
0.28,5.90619,0.282095,0.172672,0.136809,-0.436119,-0
0.28,6.03186,0.282095,0.11665,0.136809,-0.454322,-0
0.28,6.15752,0.282095,0.0587886,0.136809,-0.46536,-0
0.32,0,0.282095,-0,0.156353,-0.462911,0
0.32,0.125664,0.282095,-0.0580181,0.156353,-0.45926,0
0.32,0.251327,0.282095,-0.115121,0.156353,-0.448367,0
0.32,0.376991,0.282095,-0.170409,0.156353,-0.430403,0
0.32,0.502655,0.282095,-0.223009,0.156353,-0.405652,0
0.32,0.628319,0.282095,-0.272092,0.156353,-0.374503,0
0.32,0.753982,0.282095,-0.316884,0.156353,-0.337447,0
0.32,0.879646,0.282095,-0.356679,0.156353,-0.29507,0
0.32,1.00531,0.282095,-0.390848,0.156353,-0.24804,0
0.32,1.13097,0.282095,-0.418854,0.156353,-0.197098,0
0.32,1.25664,0.282095,-0.440254,0.156353,-0.143047,0
0.32,1.3823,0.282095,-0.454711,0.156353,-0.0867408,0
0.32,1.50796,0.282095,-0.461997,0.156353,-0.0290664,0
0.32,1.63363,0.282095,-0.461997,0.156353,0.0290664,-0
0.32,1.75929,0.282095,-0.454711,0.156353,0.0867408,-0
0.32,1.88496,0.282095,-0.440254,0.156353,0.143047,-0
0.32,2.01062,0.282095,-0.418854,0.156353,0.197098,-0
0.32,2.13628,0.282095,-0.390848,0.156353,0.24804,-0
0.32,2.26195,0.282095,-0.356679,0.156353,0.29507,-0
0.32,2.38761,0.282095,-0.316884,0.156353,0.337447,-0
0.32,2.51327,0.282095,-0.272092,0.156353,0.374503,-0
0.32,2.63894,0.282095,-0.223009,0.156353,0.405652,-0
0.32,2.7646,0.282095,-0.170409,0.156353,0.430403,-0
0.32,2.89027,0.282095,-0.115121,0.156353,0.448367,-0
